,WINNER,LOSER
159,/tournament/674d4ac995f729096d70c0ab/player/lichtkyo,/tournament/674d4ac995f729096d70c0ab/player/shiro1704
160,/tournament/674d4ac995f729096d70c0ab/player/ridhobot,/tournament/674d4ac995f729096d70c0ab/player/fenrirtcgp
161,/tournament/674d4ac995f729096d70c0ab/player/ridhobot,/tournament/674d4ac995f729096d70c0ab/player/salva27
162,/tournament/674d4ac995f729096d70c0ab/player/asurarusa,/tournament/674d4ac995f729096d70c0ab/player/asunders
163,/tournament/674d4ac995f729096d70c0ab/player/asurarusa,/tournament/674d4ac995f729096d70c0ab/player/zagazaga
164,/tournament/674d4ac995f729096d70c0ab/player/coletrainxd,/tournament/674d4ac995f729096d70c0ab/player/fshkyn
165,/tournament/674d4ac995f729096d70c0ab/player/coletrainxd,/tournament/674d4ac995f729096d70c0ab/player/thiagof2p
166,/tournament/674d4ac995f729096d70c0ab/player/silverbananaa,/tournament/674d4ac995f729096d70c0ab/player/thiagof2p
167,/tournament/674d4ac995f729096d70c0ab/player/silverbananaa,/tournament/674d4ac995f729096d70c0ab/player/cunhador
168,/tournament/674d4ac995f729096d70c0ab/player/bigbalz,/tournament/674d4ac995f729096d70c0ab/player/cbreezus23
169,/tournament/674d4ac995f729096d70c0ab/player/bigbalz,/tournament/674d4ac995f729096d70c0ab/player/lucasf2000
170,/tournament/674d4ac995f729096d70c0ab/player/axojad,/tournament/674d4ac995f729096d70c0ab/player/kentbonk
171,/tournament/674d4ac995f729096d70c0ab/player/axojad,/tournament/674d4ac995f729096d70c0ab/player/cdk_ifb_yami
172,/tournament/674d4ac995f729096d70c0ab/player/p666y,/tournament/674d4ac995f729096d70c0ab/player/wittawin
173,/tournament/674d4ac995f729096d70c0ab/player/p666y,/tournament/674d4ac995f729096d70c0ab/player/hanezune47
174,/tournament/674d4ac995f729096d70c0ab/player/rrcayas,/tournament/674d4ac995f729096d70c0ab/player/kvi
175,/tournament/674d4ac995f729096d70c0ab/player/rrcayas,/tournament/674d4ac995f729096d70c0ab/player/thejokingjoker
176,/tournament/674d4ac995f729096d70c0ab/player/joselitosuarez,/tournament/674d4ac995f729096d70c0ab/player/geqndugeila
177,/tournament/674d4ac995f729096d70c0ab/player/joselitosuarez,/tournament/674d4ac995f729096d70c0ab/player/dr_pp
178,/tournament/674d4ac995f729096d70c0ab/player/pikapica12,/tournament/674d4ac995f729096d70c0ab/player/rynogun
179,/tournament/674d4ac995f729096d70c0ab/player/pikapica12,/tournament/674d4ac995f729096d70c0ab/player/abscissa
180,/tournament/674d4ac995f729096d70c0ab/player/kvi,/tournament/674d4ac995f729096d70c0ab/player/snoopyz666
181,/tournament/674d4ac995f729096d70c0ab/player/kvi,/tournament/674d4ac995f729096d70c0ab/player/rasennn
182,/tournament/674d4ac995f729096d70c0ab/player/orlandos,/tournament/674d4ac995f729096d70c0ab/player/verser
183,/tournament/674d4ac995f729096d70c0ab/player/orlandos,/tournament/674d4ac995f729096d70c0ab/player/jayjay0508
184,/tournament/674d4ac995f729096d70c0ab/player/syr,/tournament/674d4ac995f729096d70c0ab/player/siuman23
185,/tournament/674d4ac995f729096d70c0ab/player/syr,/tournament/674d4ac995f729096d70c0ab/player/pippiking
186,/tournament/674d4ac995f729096d70c0ab/player/symonyzed,/tournament/674d4ac995f729096d70c0ab/player/amijapon
187,/tournament/674d4ac995f729096d70c0ab/player/symonyzed,/tournament/674d4ac995f729096d70c0ab/player/adrlanv
188,/tournament/674d4ac995f729096d70c0ab/player/kasidis,/tournament/674d4ac995f729096d70c0ab/player/jimboon
189,/tournament/674d4ac995f729096d70c0ab/player/kasidis,/tournament/674d4ac995f729096d70c0ab/player/vladd
190,/tournament/674d4ac995f729096d70c0ab/player/rurua,/tournament/674d4ac995f729096d70c0ab/player/klittawat42
191,/tournament/674d4ac995f729096d70c0ab/player/rurua,/tournament/674d4ac995f729096d70c0ab/player/austinokray
192,/tournament/674d4ac995f729096d70c0ab/player/miqkymiyuki,/tournament/674d4ac995f729096d70c0ab/player/daflames6
193,/tournament/674d4ac995f729096d70c0ab/player/miqkymiyuki,/tournament/674d4ac995f729096d70c0ab/player/wattu
194,/tournament/674d4ac995f729096d70c0ab/player/zegger,/tournament/674d4ac995f729096d70c0ab/player/daflames6
195,/tournament/674d4ac995f729096d70c0ab/player/zegger,/tournament/674d4ac995f729096d70c0ab/player/maxmagri9
